url,malicious,url_res,hostname_res,path_res,first_dir_res,top_level_res,dash_res,at_res,q_res,percent_res,dot_res,equal_res,colon_res,www_res,numbers_res,letters_res,dir_res,single_letter_res,query_res,ratio_upper_lower_res,ip_res,shortened_res,http_res
https://composito.com.br/wp-includes/fonts/ayyf/,0,48,0,0,0,0,1,0,0,0,2,0,0,0,0,38,4,0,0,0.0,0,0,1
http://rockysite.net/,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0.0,0,0,0
http://click.em32dat.eu/g-o/6C891D7F-5F20-4CAD-85CF-C833A7D582BF/899DB369-7829-4C2D-ABF7-C73FF68135C6/04353513-3ECD-BABF-1007-B30550540E14,0,138,0,0,0,0,13,0,0,0,2,0,0,0,64,52,4,0,0,1.8888888888888888,0,0,0
https://biblio-emi.md/https/,0,28,0,0,0,0,1,0,0,0,1,0,0,0,0,21,2,0,0,0.0,0,0,1
http://www.66law.cn,1,19,8,0,0,2,0,0,0,0,2,0,0,1,2,12,0,0,0,0.0,0,0,0
https://luckylkhraylbwal.blogspot.com/,0,38,0,0,0,0,0,0,0,0,2,0,0,0,0,32,1,0,0,0.0,0,1,1
http://stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali/index.php?email=_xxx@yyy.com__,0,106,0,0,0,0,1,1,1,0,3,1,0,0,0,86,7,0,1,0.0,0,0,0
https://alternatifklinik.com/,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,24,1,0,0,0.0,0,0,1
https://cantarinobrasileiro.com.br/blog/c6-bank-fatura-premiacoes-melhor-banco-digital-e-rapidez-na-conquista-de-1-mi-de-clientes/,0,130,0,0,0,0,15,0,0,0,2,0,0,0,2,105,3,0,0,0.0,0,0,1
http://www.fair.org,1,19,8,0,0,3,0,0,0,0,2,0,0,1,0,14,0,0,0,0.0,0,0,0
http://www.cartitleloansplus.com,1,32,21,0,0,3,0,0,0,0,2,0,0,1,0,27,0,0,0,0.0,0,0,0
http://www.walla.co.il,1,22,11,0,0,2,0,0,0,0,3,0,0,1,0,16,0,0,0,0.0,0,0,0
https://onedrive.live.com/?authkey=%21ABfQBc2symcHkcU&amp;cid=411AE82266F5C82F&amp;id=411AE82266F5C82F%21111&amp;parId=root&amp;o=OneUp,0,135,0,0,0,0,0,0,1,2,2,5,4,0,30,83,1,0,1,0.296875,0,0,1
http://www.dailytimes.com.pk,1,28,17,0,0,2,0,0,0,0,3,0,0,1,0,22,0,0,0,0.0,0,0,0
http://www.cau.edu.cn,1,21,10,0,0,2,0,0,0,0,3,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.gob.gt,1,17,6,0,0,2,0,0,0,0,2,0,0,1,0,12,0,0,0,0.0,0,0,0
http://doclab-console-auth.firebaseapp.com/common/oauth2...,0,59,0,0,0,0,2,0,0,0,5,0,0,0,1,46,2,0,0,0.0,0,0,0
http://www.bjd.com.cn,1,21,10,0,0,2,0,0,0,0,3,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.ucanr.edu,1,20,9,0,0,3,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.kairaweb.com,1,23,12,0,0,3,0,0,0,0,2,0,0,1,0,18,0,0,0,0.0,0,0,0
http://www.themeslide.com,1,25,14,0,0,3,0,0,0,0,2,0,0,1,0,20,0,0,0,0.0,0,0,0
http://tanbo.main.jp/bomb2.htm,0,30,0,0,0,0,0,0,0,0,3,0,0,0,1,22,1,0,0,0.0,0,0,0
http://www.bowdoin.edu,1,22,11,0,0,3,0,0,0,0,2,0,0,1,0,17,0,0,0,0.0,0,0,0
https://on-me-ro.firebaseapp.com/,0,33,0,0,0,0,2,0,0,0,2,0,0,0,0,25,1,0,0,0.0,0,0,1
https://is.gd/VK3Qjm,0,20,0,0,0,0,0,0,0,0,1,0,0,0,1,14,1,0,0,0.2727272727272727,0,0,1
https://docsharex-authorize.firebaseapp.com/common/oauth2/authorize-cl...,0,73,0,0,0,0,2,0,0,0,5,0,0,0,1,59,3,0,0,0.0,0,0,1
https://shortenlink.top/link/jdxnKoP4L,0,38,0,0,0,0,0,0,0,0,1,0,0,0,1,31,2,0,0,0.10714285714285714,0,0,1
http://albel.intnet.mu/File/,0,28,0,0,0,0,0,0,0,0,2,0,0,0,0,21,2,0,0,0.05,0,0,0
http://rajwebtechnology.com/adfs,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1,0,0,0.0,0,0,0
https://1drv.ms/w/s!ApD3vYavbH21aR0iAmsLDDeaaWA,0,47,0,0,0,0,0,0,0,0,1,0,0,0,5,35,2,1,0,0.4583333333333333,0,0,1
http://www.brunel.ac.uk,1,23,12,0,0,2,0,0,0,0,3,0,0,1,0,17,0,0,0,0.0,0,0,0
http://www.hopto.org,1,20,9,0,0,3,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.couchsurfing.org,1,27,16,0,0,3,0,0,0,0,2,0,0,1,0,22,0,0,0,0.0,0,0,0
http://cz84.webeden.co.uk/,0,26,0,0,0,0,0,0,0,0,3,0,0,0,2,17,1,0,0,0.0,0,0,0
http://gwisalltrack.com/gwisalltrack_web/document_creation_indexing_files_and_documents_that_you_create.htm,0,107,0,0,0,0,0,0,0,0,2,0,0,0,0,91,2,0,0,0.0,0,0,0
https://pateltutorials.com/admin/vendor/league/?go=info@am-terrace.com,0,70,0,0,0,0,1,1,1,0,2,1,0,0,0,57,4,0,1,0.0,0,0,1
https://icipedudu-my.sharepoint.com/personal/mkaranja_icipe_org/_layouts/15/WopiFrame.aspx?guestaccesstoken=re27H63FLCklE8EZ9uJ3%2bmbypFu8Te0J3ODTDaeiFlU%3d&docid=1_1bdc33023238341e8b1471eb8a883076b&wdFormId=%7B24125711%2D8AD2%2D4CA2%2DBFD8%2D5B64DCC4E62D%7D&action=formsubmit&cid=62dab23f-06ce-4694-9418-59f6a55bb86c,0,317,0,0,0,0,5,0,1,8,3,5,0,0,85,194,5,0,1,0.2597402597402597,0,1,1
http://www.soas.ac.uk,1,21,10,0,0,2,0,0,0,0,3,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.n4g.com,1,18,7,0,0,3,0,0,0,0,2,0,0,1,1,12,0,0,0,0.0,0,0,0
http://heppler.ch.net2care.com/https//admin.hostpoint.ch/a7759c7e6734e26f4b78cf6526eb95cf/,0,90,0,0,0,0,0,0,0,0,5,0,0,0,21,56,5,0,0,0.0,0,0,0
https://firebasestorage.googleapis.com/v0/b/de-treikoz-hetrixo-13.appspot.com/o/%40%40%40indexv-vb-vau-ry-8%252Fbv-yu-er-8F%25252525%2525252F%25252525%2525252F%25252525%2525252F%25252525%2525252F%25252525.html?alt=media&amp;token=efb70ac2-20d4-4074-b86f-f5484e89a21e#mheiden@prepaidlegal.com,0,291,0,0,0,0,14,1,1,13,6,2,1,0,102,141,5,2,1,0.044444444444444446,0,1,1
http://www.zaobao.com,1,21,10,0,0,3,0,0,0,0,2,0,0,1,0,16,0,0,0,0.0,0,0,0
http://000p6vl.wcomhost.com/Ameli-Assurance/remboursement/login/,0,64,0,0,0,0,1,0,0,0,2,0,0,0,4,50,4,0,0,0.041666666666666664,0,1,0
